,Comment
0,"['tendang', 'motornya', 'injek', 'batang', 'lehernya']"
1,['rasain']
2,"['bang', 'jago', 'bang', 'jago', 'tertawa']"
3,"['knalpot', 'ciut', 'tertawa']"
4,"['kasian', 'sepeda', 'kuning', 'tertawa']"
5,['mantap']
6,"['kemana', 'otak', 'dibawa', 'dipake', 'masukkan', 'kepala', 'jngan', 'ditingal', 'toilet']"
7,"['tidakada', 'akhlak', 'tidakada', 'hormat', 'bravo', 'paspampres']"
8,"['viral', 'kebodohanya', 'sendri', 'knpa', 'tidakdi', 'dor']"
9,"['mantap', 'ndan', 'kandangin', 'motor', 'ndan']"
